a0ti1,b1to2,c2to5,d5to15,e15to100
4042.388733,8089.751835,23459.6887,11341.57827,3852.234321
5214.270018,10434.95704,30260.60959,14629.48031,4968.987837
1718.292995,3438.699295,9971.981841,4820.952665,1637.468952
1312.656635,2626.927219,7617.903125,3682.874405,1250.914583
1003.268594,2007.770266,5822.393955,2814.836332,956.0808076
1069.444207,2140.202958,6206.438924,3000.502693,1019.14338
82.92665152,165.9533996,481.2618619,232.6685058,79.03369271
2449.005007,4901.022858,14212.61155,6871.083123,2333.806729
1151.519965,2304.455512,6682.759129,3230.779475,1097.358121
975.8188652,1952.837017,5663.091612,2737.821688,929.922372
7114.544924,14237.84618,41288.70558,19961.00819,6779.8698
6768.548915,13545.42822,39280.74495,18990.26056,6450.150173
3211.277463,6426.506159,18636.3998,9009.761496,3060.220278
5362.940128,10732.48028,31123.40488,15046.5983,5110.66419
5492.688631,10992.13701,31876.39012,15410.62866,5234.30905
5384.564879,10775.7564,31248.90242,15107.27002,5131.271667
4303.32735,8611.950296,24974.02545,12073.68367,4100.897834
2389.536937,4782.013509,13867.49327,6704.235856,2277.136162
2508.473066,5020.032182,14557.72975,7037.930356,2390.477284
0.001987363,0.001987363,0.015094209,0.009979787,0.009979787
0.001987363,0.001987363,0.015094209,0.009979787,0.009979787
0.001987363,0.001987363,0.015094209,0.009979787,0.009979787
0.001987363,0.001987363,0.015094209,0.009979787,0.009979787
0.001987363,0.001987363,0.015094209,0.009979787,0.009979787
0.001987363,0.001987363,0.015094209,0.009979787,0.009979787
1823.689297,3649.621647,10583.64099,5116.658998,1737.907189
663.1610106,1327.136412,3848.606339,1860.609627,631.9726028
1659.701606,3321.444388,9631.951321,4656.565068,1581.633825
226.0155116,452.3072684,1311.66681,634.1273915,215.3913508
205.1734033,410.5973942,1190.711273,575.6514936,195.5296992
203.1050388,406.4581191,1178.707682,569.8483633,193.558635
1114.659596,2230.689397,6468.842874,3127.361761,1062.231742
1422.430039,2846.609162,8254.964439,3990.861401,1355.524013
2041.045773,4084.602173,11845.05221,5726.487662,1945.038757
1979.450189,3961.335179,11487.58708,5553.671314,1886.34076
846.0044326,1693.048344,4909.72376,2373.606351,806.2146843
2848.503642,5700.511928,16531.07046,7991.941006,2714.512104
1036.197299,2073.668214,6013.493108,2907.223128,987.4604773
2337.440958,4677.75742,13565.15836,6558.072181,2227.490888
3382.035083,6768.23161,19627.37822,9488.849553,3222.9451
2330.386895,4663.640609,13524.22066,6538.280869,2220.768663
2183.16161,4369.008798,12669.81029,6125.216575,2080.469165
4596.985241,9199.627582,26678.24592,12897.58826,4380.741438
3879.642461,7764.058943,22515.20351,10884.96735,3697.143976
4894.403914,9794.831065,28404.29181,13732.04435,4664.168909
8037.201028,16084.29421,46643.26772,22549.66877,7659.122213
9932.31555,19876.85623,57641.41584,27866.71836,9465.086548
6147.197809,12301.9611,35674.78267,17246.95977,5858.028735
6698.268541,13404.78096,38872.87833,18793.07763,6383.175936
7597.497761,15204.34639,44091.48439,21316.0103,7240.103516
6236.224637,12480.12435,36191.44286,17496.7389,5942.867553
9358.112887,18727.74403,54309.07583,26255.70013,8917.89559
11298.93427,22611.77603,65572.48011,31700.98769,10767.41664
2711.298326,5425.932391,15734.8102,7606.989353,2583.761216
10565.4948,21143.99421,61316.02184,29643.20492,10068.47971
9406.768575,18825.11531,54591.44529,26392.21152,8964.262412
2603.621981,5210.447146,15109.919,7304.885993,2481.150194
1711.684184,3425.473536,9933.628124,4802.410579,1631.171033
2580.0011,5163.176304,14972.83707,7238.613797,2458.640488
1170.441623,2342.322122,6792.569485,3283.86724,1115.389665
1821.286551,3644.813197,10569.69685,5109.917706,1735.617474
0.001987363,0.001987363,0.015094209,0.009979787,0.009979787
3416.712603,6837.629339,19828.62648,9586.142931,3255.991316
3092.341342,6188.487502,17946.16337,8676.067017,2946.879164
0.001987363,0.001987363,0.015094209,0.009979787,0.009979787
0.001987363,0.001987363,0.015094209,0.009979787,0.009979787
1275.86228,2553.293214,7404.369978,3579.641904,1215.851112
2346.287436,4695.461265,13616.49819,6582.892401,2235.921208
0.001987363,0.001987363,0.015094209,0.009979787,0.009979787
0.001987363,0.001987363,0.015094209,0.009979787,0.009979787
0.001987363,0.001987363,0.015094209,0.009979787,0.009979787
0.001987363,0.001987363,0.015094209,0.009979787,0.009979787
0.001987363,0.001987363,0.015094209,0.009979787,0.009979787
0.001987363,0.001987363,0.015094209,0.009979787,0.009979787
0.001987363,0.001987363,0.015094209,0.009979787,0.009979787
0.001987363,0.001987363,0.015094209,0.009979787,0.009979787
651.4476039,1303.695179,3780.628504,1827.745774,620.8102195
0.001987363,0.001987363,0.015094209,0.009979787,0.009979787
166.6707982,333.5447858,967.2644322,467.6262223,158.838338
293.5995652,587.5585747,1703.885551,823.7453594,279.7961079
1112.475277,2226.318071,6456.166354,3121.233303,1060.150178
463.6062936,927.7813171,2690.50623,1300.726668,441.8053609
355.2225439,710.8803926,2061.509662,996.6385695,338.5202116
702.8063878,1406.475971,4078.685168,1971.84113,669.7529778
